artist_name,key_mode,tempo,popularitymean,keymode
A92,C# major,144,50,9
A92,E minor,143,50,16
A92,D major,73,50,11
A92,B minor,147,50,6
A92,B minor,146,50,6
A92,F# minor,140,50,20
A92,A# minor,143,50,4
A92,B major,140,50,5
A92,B minor,142,50,6
A92,B major,140,50,5
A92,C# major,142,50,9
A92,C# major,141,50,9
A92,A# minor,142,50,4
A92,G major,146,50,21
A92,D# minor,145,50,14
A92,C# major,143,50,9
A92,C# major,142,50,9
A92,A# minor,143,50,4
A92,C minor,141,50,8
A92,F# minor,144,50,20
A92,E minor,136,50,16
A92,D major,147,50,11
A92,A# minor,144,50,4
A92,A# minor,141,50,4
A92,G major,142,50,21
A92,F# minor,142,50,20
A92,G major,144,50,21
A92,B minor,140,50,6
A92,G# major,142,50,23
A92,F# minor,146,50,20
A92,A major,144,50,1
A92,C# major,140,50,9
A92,C major,143,50,7
A92,B minor,145,50,6
A92,D major,144,50,11
Abra Cadabra,F major,80,54,17
Abra Cadabra,C major,107,54,7
Abra Cadabra,F# minor,80,54,20
Abra Cadabra,F# minor,109,54,20
Abra Cadabra,A major,143,54,1
Abra Cadabra,A# minor,140,54,4
Abra Cadabra,F# major,149,54,19
Abra Cadabra,C# major,144,54,9
Abra Cadabra,C# major,143,54,9
Abra Cadabra,C# major,97,54,9
Abra Cadabra,B major,90,54,5
Abra Cadabra,B minor,143,54,6
Abra Cadabra,D major,145,54,11
Abra Cadabra,C# major,114,54,9
Abra Cadabra,C# major,105,54,9
Abra Cadabra,A major,145,54,1
Abra Cadabra,A major,145,54,1
Abra Cadabra,D# minor,143,54,14
Abra Cadabra,A minor,100,54,2
Abra Cadabra,D# minor,142,54,14
Abra Cadabra,G# minor,140,54,24
Abra Cadabra,A# minor,130,54,4
Abra Cadabra,D minor,93,54,12
Abra Cadabra,B minor,106,54,6
Abra Cadabra,C# minor,125,54,10
Abra Cadabra,E minor,111,54,16
Abra Cadabra,C# major,87,54,9
Abra Cadabra,F# minor,73,54,20
Abra Cadabra,F# minor,142,54,20
Abra Cadabra,A# minor,71,54,4
Abra Cadabra,D# minor,147,54,14
Abra Cadabra,A major,144,54,1
Abra Cadabra,F# minor,144,54,20
Abra Cadabra,C# major,140,54,9
Abra Cadabra,F minor,103,54,18
Abra Cadabra,B minor,157,54,6
Abra Cadabra,A minor,75,54,2
Abra Cadabra,D# minor,90,54,14
Abra Cadabra,G# major,95,54,23
Abra Cadabra,G# minor,105,54,24
Abra Cadabra,G# minor,99,54,24
Abra Cadabra,G# major,145,54,23
Abra Cadabra,E minor,146,54,16
Abra Cadabra,F minor,93,54,18
Abra Cadabra,B minor,107,54,6
Abra Cadabra,B minor,110,54,6
Abra Cadabra,A# minor,101,54,4
Abra Cadabra,E minor,65,54,16
Abra Cadabra,E minor,68,54,16
Abra Cadabra,A major,150,54,1
Abra Cadabra,C minor,105,54,8
Abra Cadabra,C# major,140,54,9
Abra Cadabra,G# major,140,54,23
Abra Cadabra,F# major,94,54,19
Abra Cadabra,C major,116,54,7
Abra Cadabra,A minor,106,54,2
Abra Cadabra,A# minor,106,54,4
Abra Cadabra,C# major,145,54,9
Abra Cadabra,G# major,145,54,23
Abra Cadabra,G# major,145,54,23
Abra Cadabra,B minor,92,54,6
ArrDee,C# major,142,61,9
ArrDee,B major,140,61,5
ArrDee,D minor,143,61,12
ArrDee,D major,104,61,11
ArrDee,A# major,140,61,3
ArrDee,B minor,144,61,6
ArrDee,F# minor,103,61,20
ArrDee,F major,143,61,17
ArrDee,G major,139,61,21
ArrDee,A minor,140,61,2
ArrDee,B minor,141,61,6
